80,1
81,1
78,2
84,2
86,2
50,3
57,3
1,4
7,4
52,4
78,4
81,4
6,5
8,5
21,5
55,5
59,5
78,5
84,5
19,7
53,7
56,7
57,7
72,7
86,7
6,8
20,8
26,8
53,8
61,8
62,8
63,8
72,8
75,8
77,8
3,9
60,9
76,9
80,9
23,10
52,10
74,10
51,11
66,11
4,12
31,12
77,12
80,12
81,12
23,13
59,13
60,13
67,13
86,13
20,14
22,14
62,14
63,14
75,14
83,14
84,14
2,15
3,15
12,15
17,15
19,15
65,15
73,15
87,15
53,16
59,16
78,16
79,16
6,17
35,17
52,17
74,17
82,17
87,17
127,17
3,18
5,18
56,18
60,18
63,18
18,19
19,19
34,19
51,19
53,19
81,19
84,19
134,19
74,20
76,20
77,20
78,20
134,20
1,21
32,21
54,21
80,21
83,21
126,21
132,21
8,22
15,22
10,23
15,23
22,23
127,24
128,25
129,25
9,26
42,26
46,26
54,26
133,26
134,26
35,27
46,27
58,27
70,27
130,27
47,28
60,28
68,28
126,28
129,28
134,28
137,28
8,29
10,29
45,29
46,29
65,29
70,29
71,29
139,29
45,30
3,31
11,31
35,31
45,31
84,31
140,31
84,32
133,32
134,32
4,33
9,33
51,33
89,33
100,33
107,33
52,34
61,34
8,35
59,35
65,35
67,35
70,35
92,36
7,37
23,37
64,37
8,38
18,38
23,38
48,38
77,38
105,38
130,38
50,39
61,39
65,39
83,39
126,39
15,40
21,40
30,40
44,40
74,40
9,41
38,41
39,41
74,41
111,41
11,42
16,42
18,42
50,43
79,43
37,44
43,44
92,44
99,44
55,45
127,45
129,45
130,45
132,45
39,46
59,46
70,46
105,46
127,46
62,47
9,48
35,48
62,48
126,48
116,49
121,49
122,49
125,49
88,50
119,50
37,51
39,51
108,51
119,51
23,52
100,52
117,52
120,52
68,53
89,53
111,53
114,53
17,54
21,54
36,54
87,54
22,55
79,55
99,55
121,55
125,55
17,56
18,56
22,56
24,56
42,56
79,56
89,56
112,57
108,58
19,59
24,59
44,59
90,59
15,60
16,60
19,60
103,60
104,60
113,60
14,61
24,61
26,61
111,61
14,62
71,62
75,62
109,62
23,63
73,63
86,63
101,63
18,64
71,64
18,65
23,65
27,65
17,66
21,66
27,66
41,66
102,66
23,67
46,67
114,67
15,68
65,68
110,68
19,69
21,69
43,69
45,69
51,69
100,69
103,69
108,69
111,69
84,70
106,70
109,70
110,70
85,72
30,73
43,73
54,73
106,73
109,73
80,74
86,74
106,74
38,75
40,75
48,75
62,75
74,75
85,75
95,75
49,76
84,76
58,77
46,79
56,79
57,79
100,79
101,79
55,80
65,80
77,80
85,80
90,80
35,81
47,81
50,81
60,81
73,81
91,81
34,82
40,82
57,82
97,82
130,83
133,83
55,84
126,84
132,84
136,84
30,85
43,85
66,85
81,85
99,85
127,85
129,85
36,86
64,86
81,86
117,86
49,87
57,87
